text,label
Feeling great today! Life is good.,1
"Ugh, this weather sucks!",0
Can't wait for the weekend!,1
Traffic jam ruined my morning.,0
Loving the new phone!,1
Totally exhausted and frustrated.,0
My dog just learned a new trick! So proud.,1
Horrible service at the cafe today.,0
Had an amazing run. Endorphins are real!,1
Missed my flight. Worst day ever.,0
Got promoted! Yay!,1
Burnt my dinner. Again.,0
Such a peaceful morning walk.,1
Got drenched in the rain. Hate it!,0
Watching my favorite show again!,1
Lost my keys. This is not my day.,0
Family time is the best time!,1
Headache is killing me.,0
Delicious homemade brownies!,1
Awful customer support experience.,0
Blessed to have good friends!,1
Nothing is going right today.,0
Coffee and calm mornings â˜•,1
My order got canceled. Ugh!,0
Just finished a good book.,1
Feeling sick and tired.,0
Best birthday ever!,1
Missed my deadline ğŸ˜“,0
Picnic at the park was fun!,1
Got a parking ticket ğŸ˜ ,0
Woke up early and feeling fresh!,1
Spilled coffee all over myself.,0
Vacation starts today!,1
No internet again!,0
Aced my test!,1
Laptop crashed before submitting!,0
Beautiful sunset today!,1
"Too much work, no time to rest.",0
Freshly brewed happiness â˜•,1
Back pain is unbearable.,0
Movie night with friends ğŸ˜Š,1
Missed my appointment!,0
Gym session was awesome!,1
Stuck in traffic again.,0
Sunshine and smiles!,1
Got ignored all day.,0
My favorite band released a new song!,1
Just not feeling it today.,0
Lovely dinner with family â¤ï¸,1
Cranky and irritated.,0
